Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@fr9714,Shreya has some magical voice. She's the next Lata honestly. Honey dripping sweet voice with so much melody. She got the genetic lottery in her voice and sharpened her skill so well. Queen of bollywood imo,112,7,0.0,0.791,0.209,0.829,Positive
@thepoliticalgita6512,Great Santoor Player ❤😊,5,0,0.0,0.423,0.577,0.6249,Positive
@sunilarora8873,Santoor vadak bhi behtreen bjaaye hai.Its a difficult instrument.Well done.Shreya ji toe hai top singer,65,0,0.153,0.736,0.11,-0.1779,Neutral
@sikhagayathri2701,Nirbu's voice is  so sweet just like his momma. Love you shreya ma'am and Nirbu. May God shower blessings on both of you ❤,31,0,0.0,0.523,0.477,0.9471,Positive
@nikhilbanjare19,Just look how gracefully Shreya mam singing & looking at same time to the talented santoor player 😊,49,2,0.0,0.676,0.324,0.7717,Positive
@priscillasingh7465,"She is a gem.Shud not compare her to Lata.They are both unique .
Shreya is completely different and will reach great heights.❤",15,0,0.0,0.776,0.224,0.6369,Positive
@rudrakshtaneja,"'mere pyaar ki dhun'. This line is from 'Mere Dholna' but Shreya ji sang it in just a different composition, touched my heart!",2,0,0.0,1.0,0.0,0.0,Neutral
@mahuachakraborty676,A Marvellous  jugolbandi.. good wishes for you shreya  and the santoor player.,13,0,0.0,0.667,0.333,0.5423,Positive
@kanchanchanda1566,Only one Instrument n Her Magical Voice .,10,1,0.0,1.0,0.0,0.0,Neutral
@revathireva2814,Simply  superb. Your son's  voice is like a music hello. Oh. Sweet,34,0,0.0,0.455,0.545,0.8625,Positive
@mrsb.kgrover5574,Melody queen for sure! Most recognised voice of today... Today's Lataji...God Bless,5,0,0.0,0.65,0.35,0.6588,Positive
@debaratisengupta5538,রূপে লক্ষী গুণে মা সরস্বতী ❤,11,0,0.0,1.0,0.0,0.0,Neutral
@user-xb9yk1uf9h,My all time favorite singer ❤❤❤❤,7,0,0.0,0.625,0.375,0.4588,Positive
@Musicaltheist_2018,I just need an Angel like her.,3,0,0.0,0.667,0.333,0.3612,Positive
@nrk2892,Excellent music therapy 👌 👏,7,0,0.0,0.351,0.649,0.5719,Positive
@RanaSingh-yi6rh,"Just Magical
Absolutely Superb
Thanks SHREYA JI ❤",2,0,0.0,0.398,0.602,0.8211,Positive
@hanafromtunisia,Charm and gorgeousness 🖤🖤,5,0,0.0,0.233,0.767,0.765,Positive
@AksiKhan,"Wah... Bothe are Beautiful ""Ma Sha Allah"" . shreya ma'm always my favorite..",3,0,0.0,0.738,0.262,0.5994,Positive
@Altemp1691,This is simply fantastic and so so soothing. Something that I have never heard in my life time. Wow!,2,0,0.0,0.576,0.424,0.9007,Positive
@rahul51139,This instrument is so pure,1,0,0.0,1.0,0.0,0.0,Neutral
@BhushanMusicPlatform8482,Magical voice,0,0,0.0,1.0,0.0,0.0,Neutral
@moodrelaxation5114,She always amazing singer !!!,1,0,0.0,0.461,0.539,0.6884,Positive
@alkamur4739,Stunning !,1,0,0.0,0.0,1.0,0.4389,Positive
@sudipchakraborty7299,Beautiful sherya,3,0,0.0,0.204,0.796,0.5994,Positive
@tamedracingdriver,Mesmerizing as always 👌,2,0,0.0,1.0,0.0,0.0,Neutral
@AnjaliSingh-zc4xl,Mam so simplifies voice with simple life ❤❤❤❤❤❤❤,1,0,0.0,1.0,0.0,0.0,Neutral
@ssen7857,Hi hi 😢❤ cutest,2,0,0.0,0.441,0.559,0.5859,Positive
@bhaduridto,"Unplugged Queen, the best thing which can happen",0,0,0.0,0.625,0.375,0.6369,Positive
@MusifywidSanj,Santoor mom😍 singing with santoor 😀,9,0,0.0,1.0,0.0,0.0,Neutral
@apsmine,Just when I wanted to hear her this video came up.,4,0,0.0,1.0,0.0,0.0,Neutral
@siddharthgramajoshi2015,Sukoon mila 🥰,0,0,0.0,1.0,0.0,0.0,Neutral
@anuskasgian,Goddess ❤,0,0,0.0,1.0,0.0,0.0,Neutral
@panditmanish11,Devyaan Sir 🙌👏🥰😍🙏🙏Ami Je Tomar...... 💐Jai shree Krishna 💐📞☎📞🙏🙏❤,3,0,0.0,1.0,0.0,0.0,Neutral
@nishantyadav3372,She sounds as beautiful as the santoor,1,0,0.0,0.606,0.394,0.5994,Positive
@DebjaniRoyBiswas,Legend with no pride .,1,0,0.333,0.303,0.364,0.0516,Positive
@sumairafaheem2026,Love youuu ma'am Shreya from Pakistan you are my most most favourite singer in the whole world❤❤ lots of love ma'am,3,0,0.0,0.693,0.307,0.8555,Positive
@radhaharrilal1570,The best ever ❤❤❤🇹🇹🇹🇹🇹🇹,0,0,0.0,0.417,0.583,0.6369,Positive
@shyamlabulusu3113,Great Indian music.,2,0,0.0,0.328,0.672,0.6249,Positive
@sandeepkanwarvlogs7199,We love you Shreya ji,0,0,0.0,0.488,0.512,0.6369,Positive
@sushmitachatterji6867,Superb Santoor Vadan👌👌,1,0,0.0,0.328,0.672,0.6249,Positive
@bedabyasa_biswal_,Divine🖤🖤🖤,1,0,0.0,1.0,0.0,0.0,Neutral
@Ayatbabar-nr5je,Sherya love you legeng you are,1,0,0.0,0.417,0.583,0.6369,Positive
@Ayatbabar-nr5je,From pakistan love you,1,0,0.0,0.417,0.583,0.6369,Positive
@mohd.zuberthekarwaanband5657,❤❤ Shaandaar,1,0,0.0,1.0,0.0,0.0,Neutral
@suvechyachattopadhyay3930,Wow❤❤❤,0,0,0.0,1.0,0.0,0.0,Neutral
@sheulyscreativity3154,❤❤❤❤❤ love  you,1,0,0.0,0.323,0.677,0.6369,Positive
@padampreetsinghshant1131,Wah ji,1,0,0.0,1.0,0.0,0.0,Neutral
@amritachaudhury3208,Aha aha ❤,1,0,0.0,1.0,0.0,0.0,Neutral
@srijanibose5299,❤❤😮😊😊😊wow,0,0,0.0,1.0,0.0,0.0,Neutral
@jonniewalks8848,Amazing,0,0,0.0,0.0,1.0,0.5859,Positive
@arupkumardas2971,অসাধারণ 👌,1,0,0.0,1.0,0.0,0.0,Neutral
@jahanarakhatun5877,Excellent 👍👍👍👍❤❤❤❤❤,1,0,0.0,0.213,0.787,0.5719,Positive
@raer9813,Amazing Amazing 🌹 Big respect from morrocan fan 🇲🇦.... Rachid.,0,0,0.0,0.278,0.722,0.9186,Positive
@shujatalishujji,hyeee mera dil gya,1,0,0.0,1.0,0.0,0.0,Neutral
@mirmasumearmin4303,I love your all song and i love you 💖,0,0,0.0,0.373,0.627,0.8555,Positive
