Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@FireBrothers21,2:03 video start save your time 😂,288,9,0.0,0.61,0.39,0.4939,Positive
@SandeepRai-wm6ke,Jisne meri tarah ajj take 1 BHI paisa Nahi kamaya wo😅like kare,428,10,0.0,1.0,0.0,0.0,Neutral
@Sam-10990,1:56 Video starts here ...dont waste time. 😊,17,0,0.318,0.682,0.0,-0.4215,Neutral
@rahulgadwal4949,पहले मे गरीब था फिर आपकी विडियो देखी आज में भिखारी हु😂😂,83,2,0.0,1.0,0.0,0.0,Neutral
@partha9018,Plz never stop making video's like this I like your video so much I whach it every day 🥺❤,29,0,0.0,0.614,0.386,0.7342,Positive
@sujayojha4472,This is the Best online free money earning and  interesting gaming application. Thanks Bhai.,36,2,0.0,0.433,0.567,0.9201,Positive
@akashmajhi131,"💫✨Dude, Daily Check-in Feature ADD kardo..😊❤😊",8,0,0.0,1.0,0.0,0.0,Neutral
@DIBYA20069,Where is invite code,9,0,0.0,0.652,0.348,0.1531,Positive
@musictheater782,2:40 start,5,0,0.0,1.0,0.0,0.0,Neutral
@zubairshaikh6476,Stop watching the video guys on YouTube money earning aaps an website are fake,4,0,0.306,0.694,0.0,-0.6486,Negative
@jitendrakumarsingh1536,This application is real cash money earning app 🎉❤🎉,26,1,0.0,1.0,0.0,0.0,Neutral
@jgjgh285,"Inke ek aap se withdrawl nhi aata , 24 hrs hogye ek aap ke kuch nhi aya 20rs withdraw Kia tha mene last video dekh ke ... 💔 Don't waste your time guys..",1,0,0.0,1.0,0.0,0.0,Neutral
@jgjgh285,Aur ye jo jo comments kr rhe h na yh sare iske dost h kal Wale aapse inko follow aur subscribe karwaya ..,0,0,0.0,1.0,0.0,0.0,Neutral
@BabShakya,We appreciate your response 🙏,5,0,0.0,0.526,0.474,0.4019,Positive
@YouTuberBG62,you should have a total recherche of at least 50 to withdraw winning ya kaya dakha rahi ha muja ya game ma,1,0,0.0,0.766,0.234,0.7003,Positive
@aggames5615,What is the reference code Pro,3,0,0.0,1.0,0.0,0.0,Neutral
@Pranavbhardwaj811,We appreciate your efforts,3,0,0.0,0.526,0.474,0.4019,Positive
@kkkkkkkkkkk5912,We have to recharge first to sir,4,0,0.0,1.0,0.0,0.0,Neutral
@EARN_750_PERDAY_FROM_HOME,"""Success is the sum of small efforts, repeated day-in and day-out."" -Robert Collier",7,0,0.0,0.764,0.236,0.5719,Positive
