Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@sufiyanhingora2756,"Hi

Bhai AAP tharmal printer ka 400 label wala roll kaha se buy kar te ho please tell me",1,0,0.0,0.887,0.113,0.3182,Positive
@Pankaj9020,it is very difficult for me to enter particular niche and choose the right product. plz make more videos   like this.,1,0,0.0,0.874,0.126,0.0772,Positive
@Pankaj9020,i am also from mp and want to visit your store.,1,0,0.0,0.874,0.126,0.0772,Positive
@mohdafzal007,Sir starting me kon sa product best hai and kaha se le,1,0,0.0,0.724,0.276,0.6369,Positive
@heneelsanghavi5387,Sir mere category mei kafi sellers jo hai galat gst rate se maal bech rahe hai uss vaja se mere products rate competive nahi ho paa rahe hai importer se lene k baad bhi,2,0,0.0,1.0,0.0,0.0,Neutral
@raviyadav-kp7jj,Think to start,1,0,0.0,1.0,0.0,0.0,Neutral
@ArpitArora1,Thanks 🎉,1,0,0.0,1.0,0.0,0.0,Neutral
@ArpitArora1,Keep makinythese videos ✨,1,0,0.0,1.0,0.0,0.0,Neutral
@karmaLifestyle-uf2ky,sir apki video bahut achi lagi aap aise video our banao,1,0,0.0,1.0,0.0,0.0,Neutral
@lofisongsbykajal,"Cosmetic, home decoration, home organisation",1,0,0.0,1.0,0.0,0.0,Neutral
@bekarsengra9206,I need label printing machine and lebel paper where can I get???,1,0,0.0,1.0,0.0,0.0,Neutral
@OVER_POWERED_,I will try,1,0,0.0,1.0,0.0,0.0,Neutral
@sharik4255,Sir kya me mobile se bhi ecommerce business suru kar sakta hun,0,0,0.0,1.0,0.0,0.0,Neutral
@rakash_09,Bhai ek detail video banaye kaise product import karna hai Alibaba or indiamart se,1,0,0.0,1.0,0.0,0.0,Neutral
@aslampathan7941,Sir mai shirts sell krne wala hu old money aesthetic wale please iske baare me bataiye,1,0,0.0,0.867,0.133,0.3182,Positive
@odiasabuthubadhiya7948,Tq sir aap  golden heart ke hai sikhate hai support bhi karte hai bhagaban aapko or taraki denge,0,0,0.0,0.863,0.137,0.4019,Positive
@rashikhossain500,Give more videos like this,1,0,0.0,0.59,0.41,0.4173,Positive
@GDXpress,sir mujhe kids exam clipboard listing karna hai MEESHO main jiska HSN code 4823 hai lekin main jab single listing karne ja raha hu or category bhi select kar raha hu clipboard to sir waha HSN code 4823 mil nahi raha hai yah to mujhe category sahi mil nahi rahi hai yah to koi galti to ho rahi hai sir please aap hi bata dijiye clipboard ki category HSN code 4823,0,0,0.0,0.968,0.032,0.3182,Positive
@DTWxSe7eN,very good video,1,0,0.0,0.385,0.615,0.4927,Positive
@greathorned3307,Thankyou sir,0,0,0.0,1.0,0.0,0.0,Neutral
@abavijit4091,Gardening products,0,0,0.0,1.0,0.0,0.0,Neutral
@victoryvenue3282,Boss please let me know how sellers offers free delivery for items below 100 rs??,1,0,0.0,0.686,0.314,0.7149,Positive
@nishasontake2552,Hlw sir mujhe shoes listing karna hai kaise karu plz mujhe isme search krke Btao,0,0,0.0,0.915,0.085,0.0772,Positive
