Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@DhiruMonchikk,"Download Astrotalk app here -   https://astrotalk.com/link/DhirumP
First chat is free from my link",221,43,0.0,1.0,0.0,0.0,Neutral
@DhiruMonchikk,kis ki side ho bhai ?,288,137,0.0,1.0,0.0,0.0,Neutral
@Sameer0245,Police ki wild card entry ho gyi 🤓💀,236,5,0.0,1.0,0.0,0.0,Neutral
@yogirammu395,The way Dhiru explaing the whole scene 😂😂,123,0,0.0,1.0,0.0,0.0,Neutral
@AbhayKumar-si3pg,Neeraj goyat vs jake paul❎ rajveer vs rajat✅,42,1,0.0,1.0,0.0,0.0,Neutral
@toxic369,"00:07 Controversy between Rajat Dalal and Rajeev Sisodia in the fitness industry.
01:36 The speaker criticizes Rajat and Rajveer's controversy and urgest them to solve it peacefully
03:02 Astro Talk app helped me with my future predictions
04:09 Rajat Dalal vs Rajveer Fitness controversy details
05:45 Social media controversies involving Rajat Dalal and Rajveer Fitness
07:04 Rajat Dalal and Rajveer Fitness resolved their fight an hour before posting the video.
08:52 Rajat Dalal's screen time on Instagram increased due to the controversy
10:33 Discussion on handling exam papers and distribution",8,0,0.049,0.781,0.17,0.8555,Positive
@Shivaniff9727,This man is really born to make history ❤ proud to be an Indian 🇮🇳,18,1,0.0,0.807,0.193,0.4767,Positive
@user-rx8rm1lb1i,"7:27 Dhiru bhaiii kya prediction krte ho yrr...😂
RCB shi me jit gyi WPL... Waa bhai waa",7,0,0.0,1.0,0.0,0.0,Neutral
@garvgupta7658,Now we can assume how people in non internet days were able to spread rumours for personal rivalry that somebody said something on someone's caste and then whole communities fight agaisnt each other. No congress or others are required only rajat dalal like people  are enough to break society into caste within few days.,34,0,0.082,0.875,0.043,-0.3182,Neutral
@krishanjangir3442,geet gyi RCB to bhai,6,0,0.0,1.0,0.0,0.0,Neutral
@_.RKGAMER._,Kon kon chahta dhiru shaadi karle❤,448,37,0.0,1.0,0.0,0.0,Neutral
@007daksh4,8:35 Cheetah hee kehe de 😂😂😂❣️,24,2,0.0,1.0,0.0,0.0,Neutral
@K2K01,Asli badmash to apne dhiru Bhai h 🫣❤️‍🩹😎🤏,16,0,0.0,1.0,0.0,0.0,Neutral
@teddyopgaming1798,7:34 jeetgyi dhiru bhai RCB aapko muh me dairy milk bdi wali 🥰,5,0,0.0,1.0,0.0,0.0,Neutral
@kabeer9156,Dhiru bhai apka dance maze ka hota ha 😂❤,31,0,0.0,0.769,0.231,0.34,Positive
@NiboneGaming,"Guy'  s dhiru Bhai ne astrologer Priya se puch ne nahi astrologer Priya ko bolne gaye the🌝🌝🌝
Aur bhaiya astrologer aur roster ki jodi mast hogi 😅",13,0,0.0,1.0,0.0,0.0,Neutral
@vikasverma647,Insab ki ladai dekh ke time waste karke koi fayda nahi apan to dhiiru bhai ka video ka wait kar te hain 10 mint me sab samajh ajata hai ❤,2,0,0.091,0.909,0.0,-0.4215,Neutral
@janakjoshi5475,5:08  elvish kaa naam leliya,7,0,0.0,1.0,0.0,0.0,Neutral
@nehu9665,Finally 😂 dhiru bhaiii ka video aa gyi iss topic pe,4,0,0.0,1.0,0.0,0.0,Neutral
@etube77,Dhiru bhai kolkata kab araha h?,11,0,0.0,1.0,0.0,0.0,Neutral
@Harshu....,6:58 maja aa jayega😂😂❤❤,4,0,0.0,1.0,0.0,0.0,Neutral
@funforall3884,4:45 sochne vali baat nahi h 😂😂😂😂,2,0,0.0,1.0,0.0,0.0,Neutral
@Not__gamer02,Love from Assam ❤🎉,4,0,0.0,0.417,0.583,0.6369,Positive
@RDPS-fz1yk,Astrotalk ne sabi influencer ko same script likh k diya hai😂😂,5,0,0.0,1.0,0.0,0.0,Neutral
@kailashgwala6117,Rcb jeet gyi🎉,4,0,0.0,1.0,0.0,0.0,Neutral
@Mr.Boombastic_Official_YT,The way you dance always legit 😎,1,0,0.0,1.0,0.0,0.0,Neutral
@KrishnaPanditJi,8:20 Best Part,5,0,0.0,0.323,0.677,0.6369,Positive
@AdvisorNS46,Dhiru Bhai aap bhe kro ladai vese bhe subscriber nahi badre jalde bad Jai ge ❤❤😂,3,0,0.189,0.811,0.0,-0.5423,Neutral
@shivanshsinha30,"7:28 
Yess RCB has won WPL ❤",4,0,0.0,0.575,0.425,0.5719,Positive
@amansirohi15,"Rajat dalal bhai full support frm meerut ❤❤

Pura jaat samaj Rajat dalal bhai k saath h 
Neeraj bawana group bhi rajat k saath h  💪💪",1,0,0.0,0.886,0.114,0.4019,Positive
@vishalmali8197,Love from Dil ❤ se bro,2,0,0.0,0.488,0.512,0.6369,Positive
@GAMINGPOINTOFFICIAL88,Dhiru Bhai bach gaye aap RCB ko kuch nahi ka nahi to gali soch hi Raha tha mayy😊😊😊😊😊😊😊😊😊😊😊😊,3,0,0.0,1.0,0.0,0.0,Neutral
@user-oz7ky9ki5d,Full support from uganda samaj 💪🏿🖤,13,1,0.0,0.649,0.351,0.4019,Positive
@pradhan-marandi,Dhiru  bhai  ye hair style app PE  bahut acha lag raha hai ❤,2,0,0.179,0.821,0.0,-0.34,Neutral
@Marveleditz875,Bawana group ne tweet karke wild card kehl diya 😂💀,13,1,0.0,1.0,0.0,0.0,Neutral
@user-xn7ct1gt7m,Ha vllog chiya and love you dhiru Bhai,1,0,0.0,0.476,0.524,0.765,Positive
@user-rj1rk7yx9e,RCB Jeet Gyii ........😁😁😁😁😁😁😁😁,3,0,0.0,1.0,0.0,0.0,Neutral
@yodrive6076,Love from Hyderabad dhiru,24,1,0.0,0.417,0.583,0.6369,Positive
@ninjaaa696,"3:40 you said you didn’t give your name and photo, how did you chat to her without signing it to the app? When you are creating an account you gave them your info right?",1,0,0.0,0.928,0.072,0.3736,Positive
@_gaming-mj3us,Fist comment fist like ❤❤love you dhiru Bhai ❤❤,0,0,0.0,0.762,0.238,0.3612,Positive
@zaidshaikh3308,Kal RCB jit gayi 🫡😂😂,4,0,0.0,1.0,0.0,0.0,Neutral
@ajjueditzzz9583,Vlog is neede dhiru bhai ❤,4,0,0.0,1.0,0.0,0.0,Neutral
@ramsuchit5099,Bhai aapka video lockdown ke bad dekh raha hun Achanak se mil Gaya aapko video,0,0,0.2,0.8,0.0,-0.5423,Neutral
@zaidgamerz8709,Abhi videos isi chennal par aai thi kya mere pass show nhi ho rahi h notification to aaya tha,0,0,0.0,1.0,0.0,0.0,Neutral
@sumitworld7015,My Instagram screen time 0 second 😂,7,2,0.0,1.0,0.0,0.0,Neutral
@Babusahebjii.,Dhiru bhaiiiiiiiiii❤,4,0,0.0,1.0,0.0,0.0,Neutral
@SalimMohd-lb2md,Love from dubai UAE ❤❤,6,1,0.0,0.488,0.512,0.6369,Positive
@shafinahmed1154,at least remove the poliethin from the chair 😂,6,0,0.0,1.0,0.0,0.0,Neutral
@k.g.f.chapter2577,"When astrotalk funded, promotion is everywhere.",8,0,0.0,1.0,0.0,0.0,Neutral
@AmbulanceMH34,We #Anjalians with dalal bhai 😂,5,1,0.0,1.0,0.0,0.0,Neutral
@memestan1938,Bhai is bar to jaldi hi video bana di taki  meter solve na ho jae 👍🤣🤣🫢🫢,0,0,0.0,0.893,0.107,0.2023,Positive
@prakasharyal4493,Fun fact: Dhiru Bhai is obsessed and in love with the covers be it car or the chair 😂😂,0,0,0.067,0.635,0.298,0.7783,Positive
@RachitKamboj-jv4xr,Love you rajveer Bhaiya always with you 💪💪❤️❤️🙏🙏,6,0,0.0,0.625,0.375,0.6369,Positive
@PDF_LOVER,9:38 ☠️💀💀,5,1,0.0,1.0,0.0,0.0,Neutral
