Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@amrendrakumar9270,Dhoni is not only a player....he is emotion of every cricket lovers,11431,131,0.0,0.746,0.254,0.5267,Positive
@TheOblivion-tt8xu,The thing is Hardik respects Dhoni the most . He knows Dhoni is the reason he is here today . He said it openly,6515,95,0.0,0.901,0.099,0.3182,Positive
@SANTU-007,"Hardik Pandya attitude😂😂
IPL 2023 final mein Sara attitude utar diya MAHI ne❤😊
MSD forever ❤😊",1518,51,0.0,1.0,0.0,0.0,Neutral
@JafarAhmed-uf5kh,"Dhoni sir would number one captin
Very innocent
Honestly ❤️❤️💜❤️❤️💜",23,0,0.0,0.49,0.51,0.7408,Positive
@user-xn1cc6fu6e,dhoni my best cricketer,347,2,0.0,0.417,0.583,0.6369,Positive
@insync6684,Why doesn’t jadeja get this love ? He always shows up in important times,2807,80,0.0,0.618,0.382,0.7783,Positive
@Liveinkushinagar,MSD is only a player .he is emotion of every cricket lover,190,1,0.0,0.725,0.275,0.5859,Positive
@user-kv6jl7hc2x,It's not a attitude man.this is a respectable,310,3,0.0,0.633,0.367,0.4404,Positive
@KundanSingh-qt4yv,Kon kon manta hai mahi sir bahut intelligent man hain🇮🇳🇮🇳,2436,21,0.0,0.75,0.25,0.4588,Positive
@Dave-np7wo,Who Said Hardik ignoring MSD..? He is the Only Person who Specially Visit MSD on his B'day every Year.,1002,12,0.13,0.87,0.0,-0.4019,Neutral
@Cricket_vikash_7,I am Pakistan🇵🇰 my favourite player ❤MS DHONI❤,115,9,0.0,1.0,0.0,0.0,Neutral
@aniketshinde6319,"Dhoni's walk like lion🦁🦁
Dhoni's heart like a god 🙏🙏🙏",1135,14,0.0,0.458,0.542,0.7269,Positive
@pkscorpion1433,"Dhoni is really blessed person, he got every trophy in cricket, most importantly the people of India love him so much. Not sure we will see another cricketer who can match dhoni.",489,6,0.054,0.679,0.267,0.8677,Positive
@samarthsuryawanshi-bh1uo,Respect in all India cricketer player,79,0,0.0,0.617,0.383,0.4767,Positive
@villangamer2739,Attitude ❌ friendship ✅,50,1,0.0,0.256,0.744,0.4404,Positive
@Skylerplayzs,"it's not attitude, that's called respect 🤩",1319,29,0.0,0.617,0.383,0.4767,Positive
@sagarchemcomp9665,"It's not Hardik 's attitude...
It's the love btn dhoni & Hardik",579,10,0.0,0.704,0.296,0.6369,Positive
@SonuKumar-vi5fn,"Har Har Mahadev 😢😢😢😢🙏🙏🙏🙏💙💙💙💙💙❤
i am big fan Rcb 😢😢😢😢🙏🙏🙏🙏💙💙💙💙
But Ms Dhoni Like Me😢😢😢😢🙏🙏🙏🙏💙💙💙💙",1,0,0.0,0.71,0.29,0.5994,Positive
@rkgraphics1,"Kapil Dev, Sourav Ganguly & Dhoni ❤❤❤❤❤ gr8 Cricketers❤",1,0,0.0,0.654,0.346,0.5719,Positive
@RajnShots,Captain is always a captain..,1950,12,0.0,1.0,0.0,0.0,Neutral
@mekalacheruvurevanthkumar4019,Is not a attitude it a friendship between love and emotion ❤,497,2,0.177,0.514,0.309,0.4203,Positive
@techiboi7151,Still not able to find attitude of Hardik sir but only seen the respect towards him.❤,20,0,0.0,0.783,0.217,0.631,Positive
@rajeshkatare9052,"Its not a attitude of hardik
He is giving respect to MSD ❤",12,0,0.0,0.621,0.379,0.6705,Positive
